bg1	#222728
bg2	#42484a
fgb	#686b6c
fga	#757879
fg1	#c4c7c8
fg2	#e0e3e4
red	#ff72a4
orange	#f69113
yellow	#b9ad00
green	#83ba54
cyan	#00c1b0
blue	#80b2d4
purple	#c09cef
violet	#f186d7
fg-l0	#000102
bg-l0	#000205
gray-l0	#000000
red-l0	#450000
orange-l0	#3c0000
yellow-l0	#210100
green-l0	#001400
cyan-l0	#001b07
blue-l0	#000a25
purple-l0	#130038
violet-l0	#340027
fg-l5	#0e1112
bg-l5	#0b1214
gray-l5	#111111
red-l5	#50000a
orange-l5	#420000
yellow-l5	#281100
green-l5	#001d00
cyan-l5	#002315
blue-l5	#00172f
purple-l5	#180043
violet-l5	#3d0031
fg-l10	#1a1c1d
bg-l10	#171c1e
gray-l10	#1b1b1b
red-l10	#5e0018
orange-l10	#4b0000
yellow-l10	#2d1c00
green-l10	#002500
cyan-l10	#002920
blue-l10	#00203a
purple-l10	#240c4f
violet-l10	#4a003c
fg-l15	#242627
bg-l15	#222728
gray-l15	#262626
red-l15	#6d0022
orange-l15	#570100
yellow-l15	#322700
green-l15	#002f00
cyan-l15	#00322a
blue-l15	#002b46
purple-l15	#30175b
violet-l15	#570048
fg-l20	#2e3132
bg-l20	#2c3133
gray-l20	#303030
red-l20	#7b002c
orange-l20	#631100
yellow-l20	#3a3200
green-l20	#003a00
cyan-l20	#003e35
blue-l20	#003651
purple-l20	#3d2267
violet-l20	#640054
fg-l25	#393c3d
bg-l25	#373c3e
gray-l25	#3b3b3b
red-l25	#8a0037
orange-l25	#701f00
yellow-l25	#433d00
green-l25	#0a4600
cyan-l25	#004a40
blue-l25	#00415d
purple-l25	#492d74
violet-l25	#720060
fg-l30	#444748
bg-l30	#42484a
gray-l30	#474747
red-l30	#990042
orange-l30	#7d2c00
yellow-l30	#4e4900
green-l30	#195200
cyan-l30	#00574b
blue-l30	#114c6a
purple-l30	#553881
violet-l30	#7f166c
fg-l35	#505354
bg-l35	#4e5355
